"country","freq"
"Abkhazia",1614
"Afghanistan",6736
"Aland Islands",3172
"Albania",6730
"Algeria",5722
"American Samoa",7193
"Andorra",5539
"Angola",1079
"Anguilla",4979
"Antarctica",4101
"Antigua and Barbuda",871
"Argentina",2009
"Armenia",2007
"Aruba",7737
"Australia",3370
"Austria",3010
"Azerbaijan",2476
"Bahamas",5779
"Bahrain",266
"Bangladesh",6888
"Barbados",6972
"Belarus",5503
"Belgium",8172
"Belize",5403
"Benin",1652
"Bermuda",8137
"Bhutan",3900
"Bolivia",6027
"Bosnia and Herzegovina",7147
"Botswana",5886
"Bouvet Island",8162
"Brazil",1566
"British Indian Ocean Territory",287
"British Virgin Islands",6357
"Brunei",4114
"Bulgaria",4237
"Burkina Faso",7444
"Burundi",6119
"Cambodia",4365
"Cameroon",368
"Canada",2339
"Cape Verde",2274
"Cayman Islands",5657
"Central African Republic",3075
"Chad",3543
"Chile",3625
"China",4030
"Christmas Island",5721
"Cocos (Keeling) Islands",8124
"Colombia",191
"Comoros",219
"Congo (DRC)",6371
"Congo (Republic)",5069
"Cook Islands",4970
"Costa Rica",4054
"Côte d'Ivoire",5717
"Croatia",5285
"Cuba",2686
"Curaçao",2239
"Cyprus",3382
"Czech Republic",6485
"Denmark",177
"Djibouti",5106
"Dominica",3558
"Dominican Republic",5239
"Ecuador",3116
"Egypt",954
"El Salvador",1906
"Equatorial Guinea",399
"Eritrea",5625
"Estonia",1629
"Ethiopia",4756
"Falkland Islands (Islas Malvinas)",6887
"Faroe Islands",745
"Fiji",4145
"Finland",6251
"France",7528
"French Guiana",1380
"French Polynesia",4261
"French Southern Territories",5725
"Gabon",3157
"Gambia",2419
"Georgia",897
"Germany",3313
"Ghana",4487
"Gibraltar",7215
"Greece",4582
"Greenland",6843
"Grenada",6115
"Guadeloupe",1740
"Guam",5182
"Guatemala",4863
"Guernsey",7285
"Guinea",6910
"Guinea-Bissau",1149
"Guyana",2382
"Haiti",2382
"Honduras",1852
"Hong Kong",2125
"Hungary",6127
"Iceland",7514
"India",7873
"Indonesia",4950
"Iran",1322
"Iraq",932
"Ireland",8089
"Isle of Man",8217
"Israel",601
"Italy",4654
"Jamaica",6114
"Japan",5622
"Jersey",1910
"Jordan",7284
"Kazakhstan",2882
"Kenya",13259
"Kiribati",3482
"Kosovo",6753
"Kuwait",2362
"Kyrgyzstan",3413
"Laos",3161
"Latvia",7616
"Lebanon",7344
"Lesotho",1021
"Liberia",1077
"Libya",2824
"Liechtenstein",481
"Lithuania",1512
"Luxembourg",6772
"Macau",6059
"Macedonia (FYROM)",3350
"Madagascar",3195
"Malawi",4382
"Malaysia",7600
"Maldives",3201
"Mali",1235
"Malta",6225
"Marshall Islands",6248
"Martinique",7029
"Mauritania",7492
"Mauritius",3339
"Mayotte",5954
"Mexico",5162
"Micronesia",4026
"Moldova",547
"Monaco",6968
"Mongolia",3650
"Montenegro",1018
"Montserrat",3819
"Morocco",5491
"Mozambique",6863
"Myanmar (Burma)",858
"Nagorno-Karabakh Republic",613
"Namibia",3895
"Nauru",3336
"Nepal",7608
"Netherlands",1773
"Netherlands Antilles",6594
"New Caledonia",7439
"New Zealand",2941
"Nicaragua",2941
"Niger",792
"Nigeria",6798
"Niue",2136
"Norfolk Island",1348
"North Korea",3900
"Northern Cyprus",2527
"Northern Mariana Islands",3264
"Norway",5815
"Oman",7867
"Pakistan",6159
"Palau",6053
"Palestine",3150
"Panama",5176
"Papua New Guinea",512
"Paraguay",4330
"Peru",3958
"Philippines",10768
"Pitcairn Islands",1934
"Poland",527
"Portugal",3564
"Puerto Rico",2830
"Qatar",1587
"Réunion",7018
"Romania",451
"Russia",1312
"Rwanda",3191
"Saint Pierre and Miquelon",986
"Saint Vincent and the Grenadines",5520
"Samoa",6833
"San Marino",7051
"São Tomé and Príncipe",2365
"Saudi Arabia",7198
"Senegal",551
"Serbia",3056
"Seychelles",151
"Sierra Leone",1797
"Singapore",2877
"Slovakia",5574
"Slovenia",2615
"Solomon Islands",1685
"Somalia",6220
"South Africa",7559
"South Georgia and the South Sandwich Islands",2154
"South Korea",4290
"South Ossetia",6206
"South Sudan",2122
"Spain",2743
"Sri Lanka",1346
"St. Barthélemy",787
"St. Kitts and Nevis",514
"St. Lucia",2253
"St. Martin",2072
"Sudan",2555
"Suriname",1226
"Svalbard and Jan Mayen",8166
"Swaziland",2328
"Sweden",882
"Switzerland",2020
"Syria",2319
"Taiwan",4400
"Tajikistan",980
"Tanzania",1971
"Thailand",2944
"Timor-Leste",5537
"Togo",1339
"Tokelau",1743
"Tonga",396
"Transnistria",2803
"Trinidad and Tobago",4472
"Tristan da Cunha",336
"Tunisia",1771
"Turkey",2647
"Turkmenistan",441
"Turks and Caicos Islands",4759
"Tuvalu",2745
"U.S. Virgin Islands",6541
"Uganda",3195
"Ukraine",7152
"United Arab Emirates",3536
"United Kingdom",4774
"United States",2512
"Uruguay",885
"Uzbekistan",55
"Vanuatu",2690
"Vatican City",6882
"Venezuela",7494
"Vietnam",1983
"Wallis and Futuna",8227
"Western Sahara",3772
"Yemen",2830
"Zambia",975
"Zimbabwe",5769
